ticker,cik,bolsa,sector,variables_descargadas
SNDK,0002023554,Nasdaq,Computer Storage Devices,30
CIEN,0000936395,NYSE,Telephone & Telegraph Apparatus,35
FIX,0001035983,NYSE,Electrical Work,34
LITE,0001633978,Nasdaq,"Communications Equipment, NEC",37
COHR,0000820318,NYSE,Optical Instruments & Lenses,35
BE,0001664703,NYSE,Electrical Industrial Apparatus,30
RKLB,0001819994,Nasdaq,Guided Missiles & Space Vehicles & Parts,33
ASTS,0001780312,Nasdaq,"Communications Services, NEC",32
EME,0000105634,NYSE,Electrical Work,31
SATS,0001415404,Nasdaq,"Communications Services, NEC",34
INSM,0001104506,Nasdaq,Pharmaceutical Preparations,33
TPR,0001116132,NYSE,Leather & Leather Products,35
JBL,0000898293,NYSE,Printed Circuit Boards,37
FTI,0001681459,NYSE,Oil & Gas Field Machinery & Equipment,29
CASY,0000726958,Nasdaq,Retail-Auto Dealers & Gasoline Stations,29
CW,0000026324,NYSE,Misc Industrial & Commercial Machinery & Equipment,33
FTAI,0001590364,Nasdaq,Services-Miscellaneous Equipment Rental & Leasing,31
FLEX,0000866374,Nasdaq,Printed Circuit Boards,37
MTZ,0000015615,NYSE,"Water, Sewer, Pipeline, Comm & Power Line Construction",32
UTHR,0001082554,Nasdaq,Pharmaceutical Preparations,32
XPO,0001166003,NYSE,Transportation Services,37
WWD,0000108312,Nasdaq,Electrical Industrial Apparatus,32
ALAB,0001736297,Nasdaq,Semiconductors & Related Devices,28
RL,0001037038,NYSE,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",31
PSTG,0001474432,NYSE,Computer Storage Devices,33
USFD,0001665918,NYSE,Wholesale-Groceries & Related Products,34
ATI,0001018963,NYSE,Steel Pipe & Tubes,31
CHRW,0001043277,Nasdaq,Arrangement of  Transportation of  Freight & Cargo,28
ROIV,0001635088,Nasdaq,Pharmaceutical Preparations,26
EXAS,0001124140,Nasdaq,Services-Medical Laboratories,35
RVMD,0001628171,Nasdaq,"Biological Products, (No Diagnostic Substances)",27
RIVN,0001874178,Nasdaq,Motor Vehicles & Passenger Car Bodies,30
ALB,0000915913,NYSE,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",34
AS,0001988894,NYSE,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,0
PKG,0000075677,NYSE,Paperboard Containers & Boxes,34
CRDO,0001807794,Nasdaq,Semiconductors & Related Devices,31
SNA,0000091440,NYSE,"Cutlery, Handtools & General Hardware",32
BWXT,0001486957,NYSE,Engines & Turbines,31
CRS,0000017843,NYSE,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",36
THC,0000070318,NYSE,"Services-General Medical & Surgical Hospitals, NEC",29
NVT,0001720635,NYSE,Special Industry Machinery (No Metalworking Machinery),28
NXT,0001852131,Nasdaq,"Search, Detection, Navigation, Guidance, Aeronautical Sys",34
APG,0001796209,NYSE,Services-To Dwellings & Other Buildings,32
FN,0001408710,NYSE,Telephone & Telegraph Apparatus,32
KTOS,0001069258,Nasdaq,Guided Missiles & Space Vehicles & Parts,36
AA,0001675149,NYSE,Primary Production of  Aluminum,27
RBC,0001324948,NYSE,Ball & Roller Bearings,38
DKS,0001089063,NYSE,Retail-Miscellaneous Shopping Goods Stores,31
HII,0001501585,NYSE,Ship & Boat Building & Repairing,32
MTSI,0001493594,Nasdaq,Semiconductors & Related Devices,38
SGI,0001206264,NYSE,Household Furniture,33
FFIV,0001048695,Nasdaq,Computer Communications Equipment,33
ITT,0000216228,NYSE,Pumps & Pumping Equipment,33
TXT,0000217346,NYSE,Aircraft & Parts,25
VTRS,0001792044,Nasdaq,Pharmaceutical Preparations,36
RS,0000861884,NYSE,Wholesale-Metals Service Centers & of fices,34
WSO,0000105016,NYSE,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies,32
MKSI,0001049502,Nasdaq,"Industrial Instruments For Measurement, Display, and Control",36
NDSN,0000072331,Nasdaq,"General Industrial Machinery & Equipment, NEC",36
SN,0001957132,NYSE,Household Appliances,30
QXO,0001236275,NYSE,Wholesale-Lumber & Other Construction Materials,39
PNR,0000077360,NYSE,Special Industry Machinery (No Metalworking Machinery),35
COKE,0000317540,Nasdaq,Bottled & Canned Soft Drinks & Carbonated Waters,32
GGG,0000042888,NYSE,Pumps & Pumping Equipment,33
LECO,0000059527,Nasdaq,Metalworkg Machinery & Equipment,34
ROKU,0001428439,Nasdaq,Cable & Other Pay Television Services,34
